member_name,reading,party,faction,constituency,election_count,updated_at
世耕弘成,せこう ひろしげ,自由民主党,自由民主党・無所属の会,和歌山2,2,2026-05-19
瀬戸隆一,せと たかかず,自由民主党,自由民主党・無所属の会,（比）四国,5,2026-05-19
園崎弘道,そのさき ひろみち,自由民主党,自由民主党・無所属の会,京都6,1,2026-05-19
平将明,たいら まさあき,自由民主党,自由民主党・無所属の会,東京4,8,2026-05-19
高市早苗,たかいち さなえ,自由民主党,自由民主党・無所属の会,奈良2,11,2026-05-19
高階恵美子,たかがい えみこ,自由民主党,自由民主党・無所属の会,島根1,2,2026-05-19
高木啓,たかぎ けい,自由民主党,自由民主党・無所属の会,東京12,4,2026-05-19
高木宏壽,たかぎ ひろひさ,自由民主党,自由民主党・無所属の会,北海道3,4,2026-05-19
高沢一基,たかざわ かずもと,国民民主党,国民民主党・無所属クラブ,（比）東京,1,2026-05-19
高鳥修一,たかとり しゅういち,自由民主党,自由民主党・無所属の会,新潟5,6,2026-05-19
高橋祐介,たかはし ゆうすけ,自由民主党,自由民主党・無所属の会,北海道2,2,2026-05-19
高見康裕,たかみ やすひろ,自由民主党,自由民主党・無所属の会,島根2,3,2026-05-19
高見亮,たかみ りょう,日本維新の会,日本維新の会,大阪2,1,2026-05-19
高山聡史,たかやま さとし,チームみらい,チームみらい,（比）東京,1,2026-05-19
武井俊輔,たけい しゅんすけ,自由民主党,自由民主党・無所属の会,（比）九州,5,2026-05-19
武田良太,たけだ りょうた,自由民主党,自由民主党・無所属の会,福岡11,8,2026-05-19
武部新,たけべ あらた,自由民主党,自由民主党・無所属の会,北海道12,6,2026-05-19
武村展英,たけむら のぶひで,自由民主党,自由民主党・無所属の会,滋賀3,6,2026-05-19
田嶋要,たじま かなめ,中道改革連合,中道改革連合・無所属,（比）南関東,9,2026-05-19
橘慶一郎,たちばな けいいちろう,自由民主党,自由民主党・無所属の会,富山3,7,2026-05-19
辰巳孝太郎,たつみ こうたろう,日本共産党,日本共産党,（比）近畿,2,2026-05-19
田所嘉徳,たどころ よしのり,自由民主党,自由民主党・無所属の会,茨城1,6,2026-05-19
田中和徳,たなか かずのり,自由民主党,自由民主党・無所属の会,神奈川10,11,2026-05-19
田中健,たなか けん,国民民主党,国民民主党・無所属クラブ,（比）東海,3,2026-05-19
田中昌史,たなか まさし,自由民主党,自由民主党・無所属の会,（比）東京,1,2026-05-19
田中良生,たなか りょうせい,自由民主党,自由民主党・無所属の会,埼玉15,7,2026-05-19
棚橋泰文,たなはし やすふみ,自由民主党,自由民主党・無所属の会,岐阜2,11,2026-05-19
谷公一,たに こういち,自由民主党,自由民主党・無所属の会,兵庫5,9,2026-05-19
谷浩一郎,たに こういちろう,参政党,参政党,（比）近畿,1,2026-05-19
谷川とむ,たにがわ とむ,自由民主党,自由民主党・無所属の会,大阪19,4,2026-05-19
田野瀬太道,たのせ たいどう,自由民主党,自由民主党・無所属の会,奈良3,6,2026-05-19
田畑裕明,たばた ひろあき,自由民主党,自由民主党・無所属の会,（比）北陸信越,6,2026-05-19
玉木雄一郎,たまき ゆういちろう,国民民主党,国民民主党・無所属クラブ,香川2,7,2026-05-19
田宮寿人,たみや ひさと,自由民主党,自由民主党・無所属の会,千葉9,1,2026-05-19
田村智子,たむら ともこ,日本共産党,日本共産党,（比）東京,2,2026-05-19
田村憲久,たむら のりひさ,自由民主党,自由民主党・無所属の会,三重1,11,2026-05-19
俵田祐児,たわらだ ゆうじ,自由民主党,自由民主党・無所属の会,（比）中国,1,2026-05-19
丹野みどり,たんの みどり,国民民主党,国民民主党・無所属クラブ,愛知11,2,2026-05-19
津島淳,つしま じゅん,自由民主党,自由民主党・無所属の会,青森1,6,2026-05-19
辻清人,つじ きよと,自由民主党,自由民主党・無所属の会,東京2,6,2026-05-19
辻秀樹,つじ ひでき,自由民主党,自由民主党・無所属の会,（比）東海,1,2026-05-19
辻由布子,つじ ゆうこ,自由民主党,自由民主党・無所属の会,（比）東京,1,2026-05-19
土田慎,つちだ しん,自由民主党,自由民主党・無所属の会,東京13,3,2026-05-19
土屋品子,つちや しなこ,自由民主党,自由民主党・無所属の会,埼玉16,10,2026-05-19
角田秀穂,つのだ ひでお,中道改革連合,中道改革連合・無所属,（比）南関東,4,2026-05-19
寺田稔,てらだ みのる,自由民主党,自由民主党・無所属の会,（比）中国,8,2026-05-19
渡海紀三朗,とかい きさぶろう,自由民主党,自由民主党・無所属の会,兵庫10,12,2026-05-19
とかしきなおみ,とかしき なおみ,自由民主党,自由民主党・無所属の会,（比）近畿,5,2026-05-19
冨樫博之,とがし ひろゆき,自由民主党,自由民主党・無所属の会,秋田1,6,2026-05-19
豊田真由子,とよた まゆこ,参政党,参政党,（比）北関東,3,2026-05-19
土井亨,どい とおる,自由民主党,自由民主党・無所属の会,宮城1,6,2026-05-19
土橋章宏,どばし あきひろ,チームみらい,チームみらい,（比）東京,1,2026-05-19
中川こういち,なかがわ こういち,自由民主党,自由民主党・無所属の会,北海道11,1,2026-05-19
中川貴元,なかがわ たかもと,自由民主党,自由民主党・無所属の会,（比）東海,2,2026-05-19
中川宏昌,なかがわ ひろまさ,中道改革連合,中道改革連合・無所属,（比）北陸信越,3,2026-05-19
中川康洋,なかがわ やすひろ,中道改革連合,中道改革連合・無所属,（比）東海,4,2026-05-19
中曽根康隆,なかそね やすたか,自由民主党,自由民主党・無所属の会,群馬1,4,2026-05-19
中谷元,なかたに げん,自由民主党,自由民主党・無所属の会,高知1,13,2026-05-19
中谷真一,なかたに しんいち,自由民主党,自由民主党・無所属の会,山梨1,6,2026-05-19
中田宏,なかだ ひろし,自由民主党,自由民主党・無所属の会,富山1,5,2026-05-19
中司宏,なかつか ひろし,日本維新の会,日本維新の会,大阪11,3,2026-05-19
中西健治,なかにし けんじ,自由民主党,自由民主党・無所属の会,神奈川3,3,2026-05-19
中根一幸,なかね かずゆき,自由民主党,自由民主党・無所属の会,（比）北関東,6,2026-05-19
中野英幸,なかの ひでゆき,自由民主党,自由民主党・無所属の会,埼玉7,3,2026-05-19
中野洋昌,なかの ひろまさ,中道改革連合,中道改革連合・無所属,（比）近畿,6,2026-05-19
中村はやと,なかむら はやと,無所属,無所属,茨城7,2,2026-05-19
中村裕之,なかむら ひろゆき,自由民主党,自由民主党・無所属の会,北海道4,6,2026-05-19
なかやめぐ,なかや めぐ,参政党,参政党,（比）南関東,1,2026-05-19
中山展宏,なかやま のりひろ,自由民主党,自由民主党・無所属の会,（比）四国,5,2026-05-19
中山泰秀,なかやま やすひで,自由民主党,自由民主党・無所属の会,（比）近畿,6,2026-05-19
永岡桂子,ながおか けいこ,自由民主党,自由民主党・無所属の会,（比）北関東,8,2026-05-19
長坂康正,ながさか やすまさ,自由民主党,自由民主党・無所属の会,愛知9,6,2026-05-19
長澤興祐,ながさわ こうすけ,自由民主党,自由民主党・無所属の会,東京29,1,2026-05-19
長島昭久,ながしま あきひさ,自由民主党,自由民主党・無所属の会,東京30,9,2026-05-19
永田磨梨奈,ながた まりな,自由民主党,自由民主党・無所属の会,神奈川4,1,2026-05-19
長妻昭,ながつま あきら,中道改革連合,中道改革連合・無所属,（比）東京,10,2026-05-19
長友慎治,ながとも しんじ,国民民主党,国民民主党・無所属クラブ,宮崎2,3,2026-05-19
長野春信,ながの はるのぶ,自由民主党,自由民主党・無所属の会,（比）南関東,1,2026-05-19
鍋島勢理,なべしま せり,国民民主党,国民民主党・無所属クラブ,（比）中国,1,2026-05-19
仁木博文,にき ひろぶみ,自由民主党,自由民主党・無所属の会,徳島1,4,2026-05-19
西岡秀子,にしおか ひでこ,国民民主党,国民民主党・無所属クラブ,長崎1,4,2026-05-19
西岡義高,にしおか よしたか,国民民主党,国民民主党・無所属クラブ,（比）南関東,2,2026-05-19
西園勝秀,にしぞの かつひで,中道改革連合,中道改革連合・無所属,（比）東海,2,2026-05-19
西田薫,にしだ かおる,日本維新の会,日本維新の会,大阪6,2,2026-05-19
西田昭二,にしだ しょうじ,自由民主党,自由民主党・無所属の会,石川3,4,2026-05-19
西野太亮,にしの だいすけ,自由民主党,自由民主党・無所属の会,熊本2,3,2026-05-19
西村明宏,にしむら あきひろ,自由民主党,自由民主党・無所属の会,宮城3,7,2026-05-19
西村智奈美,にしむら ちなみ,中道改革連合,中道改革連合・無所属,（比）北陸信越,8,2026-05-19
西村康稔,にしむら やすとし,自由民主党,自由民主党・無所属の会,兵庫9,9,2026-05-19
西銘恒三郎,にしめ こうさぶろう,自由民主党,自由民主党・無所属の会,沖縄4,8,2026-05-19
西山尚利,にしやま なおとし,自由民主党,自由民主党・無所属の会,福島1,1,2026-05-19
新田章文,にった しょうぶん,自由民主党,自由民主党・無所属の会,神奈川2,1,2026-05-19
丹羽秀樹,にわ ひでき,自由民主党,自由民主党・無所属の会,愛知6,8,2026-05-19
額賀福志郎,ぬかが ふくしろう,自由民主党,自由民主党・無所属の会,茨城2,15,2026-05-19
沼崎満子,ぬまざき みつこ,中道改革連合,中道改革連合・無所属,（比）南関東,2,2026-05-19
根本拓,ねもと たく,自由民主党,自由民主党・無所属の会,福島2,2,2026-05-19
根本幸典,ねもと ゆきのり,自由民主党,自由民主党・無所属の会,愛知15,6,2026-05-19
野田聖子,のだ せいこ,自由民主党,自由民主党・無所属の会,岐阜1,12,2026-05-19
野田佳彦,のだ よしひこ,中道改革連合,中道改革連合・無所属,千葉14,11,2026-05-19
野中厚,のなか あつし,自由民主党,自由民主党・無所属の会,埼玉12,6,2026-05-19
野間健,のま たけし,中道改革連合,中道改革連合・無所属,鹿児島3,5,2026-05-19
野村美穂,のむら みほ,国民民主党,国民民主党・無所属クラブ,（比）東海,1,2026-05-19
萩生田光一,はぎうだ こういち,自由民主党,自由民主党・無所属の会,東京24,8,2026-05-19
萩原佳,はぎはら けい,日本維新の会,日本維新の会,大阪9,2,2026-05-19
橋本岳,はしもと がく,自由民主党,自由民主党・無所属の会,岡山4,6,2026-05-19
橋本幹彦,はしもと みきひこ,国民民主党,国民民主党・無所属クラブ,（比）北関東,2,2026-05-19
長谷川淳二,はせがわ じゅんじ,自由民主党,自由民主党・無所属の会,愛媛3,3,2026-05-19
畑野君枝,はたの きみえ,日本共産党,日本共産党,（比）南関東,3,2026-05-19
鳩山二郎,はとやま じろう,自由民主党,自由民主党・無所属の会,福岡6,5,2026-05-19
葉梨康弘,はなし やすひろ,自由民主党,自由民主党・無所属の会,茨城3,8,2026-05-19
浜田靖一,はまだ やすかず,自由民主党,自由民主党・無所属の会,千葉12,12,2026-05-19
浜地雅一,はまち まさかず,中道改革連合,中道改革連合・無所属,（比）九州,6,2026-05-19
林拓海,はやし たくみ,チームみらい,チームみらい,（比）東北,1,2026-05-19
林芳正,はやし よしまさ,自由民主党,自由民主党・無所属の会,山口3,3,2026-05-19
原田直樹,はらだ なおき,中道改革連合,中道改革連合・無所属,（比）南関東,1,2026-05-19
原山大亮,はらやま だいすけ,日本維新の会,日本維新の会,（比）近畿,1,2026-05-19
馬場伸幸,ばば のぶゆき,日本維新の会,日本維新の会,大阪17,6,2026-05-19
東田淳平,ひがしだ じゅんぺい,自由民主党,自由民主党・無所属の会,（比）近畿,1,2026-05-19
日野紗里亜,ひの さりあ,国民民主党,国民民主党・無所属クラブ,愛知7,2,2026-05-19
平井卓也,ひらい たくや,自由民主党,自由民主党・無所属の会,（比）四国,10,2026-05-19
平口洋,ひらぐち ひろし,自由民主党,自由民主党・無所属の会,広島2,7,2026-05-19
平沢勝栄,ひらさわ かつえい,自由民主党,自由民主党・無所属の会,東京17,11,2026-05-19
平沼正二郎,ひらぬま しょうじろう,自由民主党,自由民主党・無所属の会,（比）中国,3,2026-05-19
平林晃,ひらばやし あきら,中道改革連合,中道改革連合・無所属,（比）中国,3,2026-05-19
広瀬建,ひろせ けん,自由民主党,自由民主党・無所属の会,大分2,2,2026-05-19
深作ヘスス,ふかさく へすす,国民民主党,国民民主党・無所属クラブ,（比）南関東,2,2026-05-19
深澤陽一,ふかざわ よういち,自由民主党,自由民主党・無所属の会,静岡4,4,2026-05-19
福重隆浩,ふくしげ たかひろ,中道改革連合,中道改革連合・無所属,（比）北関東,3,2026-05-19
福田徹,ふくた とおる,国民民主党,国民民主党・無所属クラブ,（比）東海,2,2026-05-19
福田かおる,ふくだ かおる,自由民主党,自由民主党・無所属の会,東京18,2,2026-05-19
福田達夫,ふくだ たつお,自由民主党,自由民主党・無所属の会,群馬4,6,2026-05-19
福原淳嗣,ふくはら じゅんじ,自由民主党,自由民主党・無所属の会,秋田2,2,2026-05-19
藤井比早之,ふじい ひさゆき,自由民主党,自由民主党・無所属の会,兵庫4,6,2026-05-19
藤沢忠盛,ふじさわ ただもり,自由民主党,自由民主党・無所属の会,（比）東海,1,2026-05-19
藤田ひかる,ふじた ひかる,自由民主党,自由民主党・無所属の会,長野2,1,2026-05-19
藤田文武,ふじた ふみたけ,日本維新の会,日本維新の会,大阪12,4,2026-05-19
藤田誠,ふじた まこと,自由民主党,自由民主党・無所属の会,埼玉14,1,2026-05-19
藤田洋司,ふじた ようじ,自由民主党,自由民主党・無所属の会,（比）近畿,1,2026-05-19
藤丸敏,ふじまる さとし,自由民主党,自由民主党・無所属の会,福岡7,6,2026-05-19
藤原崇,ふじわら たかし,自由民主党,自由民主党・無所属の会,岩手3,5,2026-05-19
文月涼,ふづき りょう,自由民主党,自由民主党・無所属の会,（比）南関東,1,2026-05-19
船田元,ふなだ はじめ,自由民主党,自由民主党・無所属の会,栃木1,15,2026-05-19
古井康介,ふるい こうすけ,自由民主党,自由民主党・無所属の会,（比）北陸信越,1,2026-05-19
古川あおい,ふるかわ あおい,チームみらい,チームみらい,（比）九州,1,2026-05-19
古川直季,ふるかわ なおき,自由民主党,自由民主党・無所属の会,神奈川6,3,2026-05-19
古川元久,ふるかわ もとひさ,国民民主党,国民民主党・無所属クラブ,愛知2,11,2026-05-19
古川康,ふるかわ やすし,自由民主党,自由民主党・無所属の会,佐賀2,5,2026-05-19
古川禎久,ふるかわ よしひさ,自由民主党,自由民主党・無所属の会,宮崎3,9,2026-05-19
古屋圭司,ふるや けいじ,自由民主党,自由民主党・無所属の会,岐阜5,13,2026-05-19
穂坂泰,ほさか やすし,自由民主党,自由民主党・無所属の会,埼玉4,4,2026-05-19
星野剛士,ほしの つよし,自由民主党,自由民主党・無所属の会,神奈川12,6,2026-05-19
細田健一,ほそだ けんいち,自由民主党,自由民主党・無所属の会,（比）東海,5,2026-05-19
細野豪志,ほその ごうし,自由民主党,自由民主党・無所属の会,静岡5,10,2026-05-19
堀内詔子,ほりうち のりこ,自由民主党,自由民主党・無所属の会,山梨2,6,2026-05-19
本田太郎,ほんだ たろう,自由民主党,自由民主党・無所属の会,京都5,4,2026-05-19
前川恵,まえかわ めぐみ,自由民主党,自由民主党・無所属の会,（比）北関東,2,2026-05-19
前原誠司,まえはら せいじ,日本維新の会,日本維新の会,京都2,12,2026-05-19
牧島かれん,まきしま かれん,自由民主党,自由民主党・無所属の会,神奈川17,6,2026-05-19
牧野俊一,まきの しゅんいち,参政党,参政党,（比）九州,1,2026-05-19
松下英樹,まつした ひでき,自由民主党,自由民主党・無所属の会,北海道9,1,2026-05-19
松島みどり,まつしま みどり,自由民主党,自由民主党・無所属の会,東京14,9,2026-05-19
松野博一,まつの ひろかず,自由民主党,自由民主党・無所属の会,千葉3,10,2026-05-19
松本泉,まつもと いずみ,自由民主党,自由民主党・無所属の会,千葉8,1,2026-05-19
松本尚,まつもと ひさし,自由民主党,自由民主党・無所属の会,千葉13,3,2026-05-19
松本洋平,まつもと ようへい,自由民主党,自由民主党・無所属の会,東京19,7,2026-05-19
丸尾なつ子,まるお なつこ,自由民主党,自由民主党・無所属の会,神奈川1,1,2026-05-19
丸川珠代,まるかわ たまよ,自由民主党,自由民主党・無所属の会,東京7,1,2026-05-19
丸田康一郎,まるた こういちろう,自由民主党,自由民主党・無所属の会,神奈川13,1,2026-05-19
三木圭恵,みき けえ,日本維新の会,日本維新の会,（比）近畿,4,2026-05-19
水野よしひこ,みずの よしひこ,自由民主党,自由民主党・無所属の会,愛知3,1,2026-05-19
三反園訓,みたぞの さとし,自由民主党,自由民主党・無所属の会,鹿児島2,3,2026-05-19
